rank,model,status,seconds,auroc,auprc,brier_score,accuracy,sensitivity,specificity,ppv,npv,f1,threshold,tp,tn,fp,fn,se,z_vs_baseline,p_one_tailed
1,lightgbm_n800_leaves15_lr0.01,ok,3.15,0.8891883461226527,0.67927309200712,0.1028637141151135,0.8656509695290858,0.4817518248175182,0.9555555555555556,0.717391304347826,0.8873015873015873,0.5764192139737991,0.5,66.0,559.0,26.0,71.0,0.018863849056183192,2.6782857947439873,0.0037000023742898014
2,lightgbm_n500_leaves15_lr0.01,ok,2.1,0.8888452180422983,0.6870249411941064,0.0978536219524424,0.868421052631579,0.4817518248175182,0.958974358974359,0.7333333333333333,0.8876582278481012,0.5814977973568282,0.5,66.0,561.0,24.0,71.0,0.01888878802149552,2.6654862123776826,0.0038438542005931886
3,xgboost_n100_d3_lr0.2,ok,0.58,0.8886518185788259,0.6655459494673268,0.1021118031719322,0.8642659279778393,0.5036496350364964,0.9487179487179488,0.696969696969697,0.8908507223113965,0.5847457627118644,0.5,69.0,555.0,30.0,68.0,0.01890281806464708,2.6582787509685,0.003927045065169943
4,xgboost_n200_d3_lr0.2,ok,1.02,0.8871171002557864,0.6490031924387121,0.1105676730798874,0.8587257617728532,0.5036496350364964,0.941880341880342,0.6699029126213593,0.8901453957996769,0.575,0.5,69.0,551.0,34.0,68.0,0.019013481999647457,2.6012577657611913,0.004644131738437363
5,catboost_n500_d4_lr0.01,ok,4.93,0.887004803793125,0.6655620278869083,0.0998615639500807,0.8587257617728532,0.3941605839416058,0.9675213675213676,0.7397260273972602,0.8721109399075501,0.5142857142857142,0.5,54.0,566.0,19.0,83.0,0.019021532867275998,2.59709752995184,0.004700761259996633
6,histgbdt_huge_n100_leafnodes5000,ok,1.82,0.8864994697111486,0.6602947766029588,0.1100397662864219,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.019057683931507526,2.578396610312323,0.0049629999192103424
7,histgbdt_n100_lr0.1,ok,2.23,0.8864994697111486,0.6602947766029588,0.1100397662864219,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.019057683931507526,2.578396610312323,0.0049629999192103424
8,histgbdt_huge_n100_leafnodes1000,ok,2.19,0.8864994697111486,0.6602947766029588,0.1100397662864219,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.019057683931507526,2.578396610312323,0.0049629999192103424
9,lightgbm_n300_leaves31_lr0.1,ok,1.69,0.8864308440950778,0.6513438245603957,0.1199755063142465,0.8614958448753463,0.5109489051094891,0.9435897435897436,0.6796116504854369,0.8917609046849758,0.5833333333333334,0.5,70.0,552.0,33.0,67.0,0.019062583536400474,2.5758595146630343,0.004999563172050081
10,lightgbm_n300_leaves63_lr0.1,ok,1.77,0.8864183667103375,0.6513356700447185,0.1199754871146958,0.8614958448753463,0.5109489051094891,0.9435897435897436,0.6796116504854369,0.8917609046849758,0.5833333333333334,0.5,70.0,552.0,33.0,67.0,0.01906347412244049,2.5753982895427536,0.005006235812493598
